,شهر,تاريخ الاتصال,تاريخ طلب الاوردر,كود العميل,جوده المنتج - التغليف,خدمه متلقي الاوردر,وصول الاوردر بالميعاد المحدد,الخدمه مرضيه بشكل عام,ارتداء الطيار الكمامة,نوع المكالمة,ملاحظات العميل
1431,مارس,44996,44995,608294.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1432,مارس,44996,44995,610251.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1433,مارس,44996,44995,612884.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1434,مارس,44996,44995,617659.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1435,مارس,44996,44995,618259.0,5,5,5,5,3,شكوي,  ارتفاع  سعر  الجمبرى وتاخير  التنظيف   حوالى نصف  ساعة  
1436,مارس,44996,44995,618321.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1437,مارس,44996,44995,619253.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1438,مارس,44996,44995,620033.0,5,5,5,5,3,شكوي, ارتفاع    اسعار قسم  الاسماك
1439,مارس,44996,44995,621936.0,5,5,5,3,3,شكوي,  قلة  عدد  العاملين  بالقسم  وعدم  الاهتمام    تجاه  العميل  من حيث  تلبية  كافة  احتياجاته  بالقسم  بشكل  عام  وليس  امس
1440,مارس,44996,44995,622030.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1441,مارس,44996,44995,622266.0,3,5,5,5,3,شكوي, جمبرى   الخلطة مجلد  ولم  يتم  ابلاغها  من  قبل  مسؤول القسم  انه  اماراتى
1442,مارس,44996,44995,623673.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1443,مارس,44996,44995,624395.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1444,مارس,44996,44995,632084.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1445,مارس,44996,44995,634840.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1446,مارس,44997,44996,507260.0,5,5,5,5,3,شكوي, ارتفاع  اسعار  قسم الاسماك
1447,مارس,44997,44996,507287.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1448,مارس,44997,44996,507673.0,5,5,5,5,3,شكوي,  قلة العمالة  فى القسم    مما ادى  الى  ازدحام 
1449,مارس,44997,44996,508860.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1450,مارس,44997,44996,509373.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1451,مارس,44997,44996,509715.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1452,مارس,44997,44996,509862.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1453,مارس,44997,44996,511519.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1454,مارس,44997,44996,513092.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1455,مارس,44997,44996,514045.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1456,مارس,44997,44996,514941.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1457,مارس,44997,44996,516147.0,1,1,1,1,1,شكوي,بورى  شوى  ردة تسبب  فى  اعاء  شديد  لكافة افراد الاسرة  ا/  مصطفى  محمد  السعيد 01005000451
1458,مارس,44997,44996,516496.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1459,مارس,44997,44996,516869.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1460,مارس,44997,44996,517118.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1461,مارس,44997,44996,517244.0,5,5,5,3,3,شكوي,  جملة( كل  سنة وانتم  طيبين )  مبالغ  فيها  جدا  للحث  على  دفع  اكراميات  امس  من كافة    العاملين  بالقسم  والماركت  امس
1462,مارس,44997,44996,520146.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1463,مارس,44997,44996,520336.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1464,مارس,44997,44996,522049.0,4,5,5,3,4,شكوي,  عدم  مصداقية  مسؤول  القسم تم  طلب  سمك  بورى   حجم  كبير  ابلغه  مسؤول القسم  بوجود  الحجم  الصغير  بعد  مرر  ساعة    وجد  العميل  سمك  بورى  حجم  كبير  فى  ثلاجة  العرض  رغم  عدم  التوريد   ا/  محمد  حسين  نصر 01002278484
1465,مارس,44997,44996,525418.0,5,5,5,5,3,شكوي,  قلة الاسماك  المعروضة  بالقسم كسمك  المكرونة  وقت  التواجد  11:00م
1466,مارس,44997,44996,527454.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1467,مارس,44997,44996,527788.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1468,مارس,44997,44996,528140.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1469,مارس,44997,44996,530205.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1470,مارس,44997,44996,530217.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1471,مارس,44997,44996,601959.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1472,مارس,44997,44996,602364.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1473,مارس,44997,44996,603257.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1474,مارس,44997,44996,604127.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1475,مارس,44997,44996,604897.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1476,مارس,44997,44996,606719.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1477,مارس,44997,44996,609433.0,3,5,5,5,3,شكوي,  الجمبرى  المشوى  مجلد  وغير  فريش
1478,مارس,44997,44996,612237.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1479,مارس,44997,44996,615186.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1480,مارس,44997,44996,615695.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1481,مارس,44997,44996,615889.0,5,5,5,3,3,شكوي,  عدم  عرض  مسؤول  القسم  على  العميل  التنظيف  او  التسوية  والعميل  ليس  على  علم  بوجود  تنظيف  او  تسوية  فى  القسم
1482,مارس,44997,44996,616710.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1483,مارس,44997,44996,617139.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1484,مارس,44997,44996,618730.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1485,مارس,44997,44996,620027.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1486,مارس,44997,44996,623250.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1487,مارس,44997,44996,624784.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1488,مارس,44997,44996,624927.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1489,مارس,44997,44996,625923.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1490,مارس,44997,44996,634745.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1491,مارس,44997,44996,672666.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1492,مارس,44997,44996,789008.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1493,مارس,44997,44996,836115.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1494,مارس,44998,44997,632749.0,5,5,5,5,5,شكر, الخدمة ممتازة
1495,مارس,44998,44997,517259.0,5,5,5,5,5,شكر, الخدمة ممتازة
1496,مارس,44998,44997,610582.0,5,5,5,5,5,شكر, الخدمة ممتازة
1497,مارس,44998,44997,617001.0,5,5,5,5,5,شكر, الخدمة ممتازة
1498,مارس,44998,44997,524978.0,5,5,5,5,5,شكر, الخدمة ممتازة
1499,مارس,44998,44997,627303.0,5,5,5,5,5,شكر, الخدمة ممتازة
1500,مارس,44998,44997,512146.0,5,5,5,5,3,شكوي,مدة  الانتظار  طويلة    لحين  تلبية احتياجات  العميل و  ارتفاع  اسعار    تسوية  الاسماك   امال عبد الفتاح  01004668118
1501,مارس,44998,44997,507121.0,5,5,5,5,5,شكر, الخدمة ممتازة
1502,مارس,44998,44997,525354.0,5,5,5,3,3,شكوي,  تاخير  التعامل  مع  عملاء  قسم الاسماك  ل 9:30ص  لحين استلام  وفرش  الاسماك  فى  ثلاجة  العرض
1503,مارس,44998,44997,509906.0,3,5,5,5,3,شكوي,  وجود  سمكة ماكريل  مهرية  وغير  فريش  وتخلص العميل  منها  
1504,مارس,44998,44997,615936.0,1,1,1,1,1,شكوي,  الجمبرى الاماراتى  مهرى   وبيض  السبيط  غير  فريش  وفيليه  قشر  بياض   غير  فريش  ورائحته  بها  زفارة  والعميل  غاضب  جدا    ا/  وفاء     السيد  01116165454
1505,مارس,44998,44997,608347.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1506,مارس,44998,44997,634138.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1507,مارس,44998,44997,517228.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1508,مارس,44998,44997,621726.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1509,مارس,44998,44997,514059.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1510,مارس,44998,44997,603299.0,5,5,5,5,3,شكوي,  مدة  تنظيف  الاسماك  ساعة  وهى  مدة  طويلة على  كبار  السن  
1511,مارس,44998,44997,508321.0,3,3,5,3,5,شكوي,  الاوردر  تم  استلامه  بارد  فى الموعد  المحدد  للاستلام  البلطى  مقلى  والبورى  مشوى تم تجهيزهم    فى  ميعاد  باكر  عن  الاستلام
1512,مارس,44998,44997,604503.0,5,5,5,5,5,شكر,  الخدمة  ممتازة  العميل لم  يقم  بالتسوية  بعد
1513,مارس,44998,44997,837475.0,4,4,5,5,3,شكوي,سمك البربون غير   فريش  وتنظيفه  سئ  وعدم وضع  اسعار  على انواع  الاسماك
1514,مارس,44998,44997,622164.0,5,5,5,5,5,شكر,  الخدمة  ممتازة  العميل لم  يقم  بالتسوية  بعد
1515,مارس,44998,44997,529965.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1516,مارس,44998,44997,511090.0,3,5,5,5,3,شكوي,  سمك  البلطى لم  يتم  تنظيفه  جيدا من  الشوك  ولك  يتم  الموافقة  على الشوى  الخارجى  للاسماك
1517,مارس,44998,44997,510168.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1518,مارس,44998,44997,835500.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1519,مارس,44998,44997,524058.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1520,مارس,44998,44997,263325.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1521,مارس,44998,44997,633798.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1522,مارس,44998,44997,512182.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1523,مارس,44998,44997,620547.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1524,مارس,44998,44997,514818.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1525,مارس,44999,44998,519326.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1526,مارس,44999,44998,837433.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1527,مارس,44999,44998,613126.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1528,مارس,44999,44998,528693.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1529,مارس,44999,44998,510759.0,5,5,5,5,3,شكوي,ارتفاع  اسعار قسم  الاسماك
1530,مارس,44999,44998,834021.0,5,5,5,3,3,شكوي,  طلب العميل تقطيع فيليه  قشر  بياض  ابلغه  مسؤول  القسم    مدة  التقطيع  ساعة مما اعترض  العميل  واخذ  المنتج  دون  تقطيع
1531,مارس,44999,44998,628280.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1532,مارس,44999,44998,509742.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1533,مارس,44999,44998,525286.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1534,مارس,44999,44998,618510.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1535,مارس,44999,44998,509178.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1536,مارس,44999,44998,608782.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1537,مارس,44999,44998,836123.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1538,مارس,44999,44998,613395.0,5,5,5,5,5,شكر,  الخدمة ممتازة  العميل  لم  يقم  بالتسوية بعد
1539,مارس,44999,44998,621816.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1540,مارس,44999,44998,514574.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1541,مارس,44999,44998,518425.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1542,مارس,44999,44998,508135.0,5,5,5,3,3,شكوي,قلة  العمالة  فى  قسم  الاسماك  وعدم  وجود  مسؤول لتسليم  الاوردر ات  من  القسم  وعدم  وجود  اسعار على  انواع  الاسماك
1543,مارس,44999,44998,510448.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1544,مارس,44999,44998,521368.0,3,5,5,5,3,شكوي,سمك  اللوت  سنجارى وسمك  البلطى  شوى  زيت  وليمون  تتبيلتهم  بدون  ملح
1545,مارس,44999,44998,248645.0,5,5,5,5,5,شكر,  الخدمة ممتازة  العميل  لم  يقم  بالتسوية بعد
1546,مارس,44999,44998,527058.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1547,مارس,44999,44998,614466.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1548,مارس,44999,44998,511477.0,5,5,5,5,5,شكر,  الخدمة ممتازة
1549,مارس,44999,44998,507251.0,5,5,5,5,5,شكر,  الخدمة ممتازة   رسالة شكر ا/احمد  حجازى ولاستاذ  محمود  السلامى  نائب   وللادارة العليا  للمؤسسة
1550,مارس,44999,44998,628614.0,5,5,5,5,5,شكر,  الخدمة ممتازة 
1551,مارس,44999,44998,525037.0,5,5,5,5,5,شكر,  الخدمة ممتازة 
1552,مارس,44999,44998,610144.0,5,5,5,5,5,شكر,  الخدمة ممتازة 
1553,مارس,44999,44998,514498.0,1,1,1,1,1,شكوي,"شكوي العميل من سؤ معامله وعدم مصداقيه بالميزان حيث يتم وضع طبق علي الميزان وزنه 300 جرام و عند ميزان السمك لا يتم تصفير الميزان من الطبق المضاف اليه وبناء علي ذلك حدث مشده كلاميه بين العميل و موظف بالقسم لازاله الطبق من الميزان وكان يمر احد المسؤلين من الاداره اشار للموظف بالقسم حتي ينهي الشكوي و العميل مستاء من الخدمه المقدمه ويفيد بنشر الواقعه علي جروبات سكان الرحاب بالاضافه الي ان جوده السمك سيئه 
ا/عادل فهمي 
رقم الهاتف / 01008376187
رقم البون : 62/15/250/130323"
1554,مارس,44999,44998,632997.0,5,5,5,5,5,شكر,  الخدمة ممتازة 
1555,مارس,44999,44998,527178.0,5,5,5,5,5,شكر,  الخدمة ممتازة 
1556,مارس,45000,44999,230079.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1557,مارس,45000,44999,487884.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1558,مارس,45000,44999,507251.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1559,مارس,45000,44999,507661.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1560,مارس,45000,44999,509283.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1561,مارس,45000,44999,509330.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1562,مارس,45000,44999,511872.0,5,5,5,5,5,شكر,خدمة ممتازة جدا  .. لم يقوم بتسوية السمك بعد 
1563,مارس,45000,44999,512743.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1564,مارس,45000,44999,512945.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1565,مارس,45000,44999,513464.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1566,مارس,45000,44999,514195.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1567,مارس,45000,44999,515405.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1568,مارس,45000,44999,515665.0,5,5,5,5,5,شكوي,ارتفاع اسعار قسم الاسماك مقارنه بالاماكن الاخرى بالرحاب 
1569,مارس,45000,44999,517405.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1570,مارس,45000,44999,517561.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1571,مارس,45000,44999,518891.0,5,5,5,5,5,شكر,خدمة ممتازة جدا .. لم يقوم تسوية السمك
1572,مارس,45000,44999,520096.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1573,مارس,45000,44999,521103.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1574,مارس,45000,44999,522310.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1575,مارس,45000,44999,528091.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1576,مارس,45000,44999,601879.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1577,مارس,45000,44999,606390.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1578,مارس,45000,44999,610595.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1579,مارس,45000,44999,612453.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1580,مارس,45000,44999,613825.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1581,مارس,45000,44999,614366.0,5,5,5,1,3,شكوي,تشكو  سوء معاملة موظف القسم والرد على العميل باسلوب غير لائق عند ابلاغه بالمجئ بعد نصف ساعة لانه يتم استلام السمك  27/9/250/140323 
1582,مارس,45000,44999,615724.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1583,مارس,45000,44999,615756.0,5,5,5,5,5,شكر,خدمة ممتازة جدا ..لم يقوم بتسوية السمك 
1584,مارس,45000,44999,620027.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1585,مارس,45000,44999,622473.0,5,5,5,1,3,شكوي,يشكو سوء معاملة موظف القسم والرد على العميل باسلوب غير لائق 259/15/250/140323  
1586,مارس,45000,44999,622523.0,3,5,5,5,3,شكوي,الجمبرى غير طازج ولم يتم تسويته جيدا والقشر لازق فى اللحم 
1587,مارس,45000,44999,635141.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1588,مارس,45000,44999,818324.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1589,مارس,45000,44999,838149.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
1590,مارس,45000,44999,838673.0,3,5,5,3,5,شكوي,سمك سالمون لم يتم تنضيفه جيدا 
1591,مارس,45001,45000,507626.0,5,5,5,5,5,شكر, الخدمة  ممتازة
1592,مارس,45001,45000,507661.0,5,5,5,5,5,شكر, الخدمة  ممتازة
1593,مارس,45001,45000,507810.0,3,5,5,5,3,شكوي,  الجمبرى  غير  فريش  مجلد
1594,مارس,45001,45000,508685.0,5,5,5,5,5,شكر, الخدمة  ممتازة
1595,مارس,45001,45000,508898.0,5,5,5,5,5,شكر, الخدمة  ممتازة
1596,مارس,45001,45000,509472.0,5,5,5,5,5,شكر, الخدمة  ممتازة  العميل  لم يقم  بالتسوية  بعد
1597,مارس,45001,45000,511299.0,5,5,5,5,5,شكر, الخدمة  ممتازة  العميل  لم يقم  بالتسوية  بعد
1598,مارس,45001,45000,512370.0,5,5,5,5,5,شكر, الخدمة  ممتازة
1599,مارس,45001,45000,513242.0,5,5,5,5,5,شكر, الخدمة  ممتازة  العميل  لم يقم  بالتسوية  بعد
1600,مارس,45001,45000,513541.0,5,5,5,5,5,شكر, الخدمة  ممتازة
1601,مارس,45001,45000,514580.0,3,5,5,5,3,شكوي,  البورى المشوى  ردة   اقل  جودة  من  المرات  السابقة من  حيث  نوعية  سمك  البورى
1602,مارس,45001,45000,516144.0,5,5,5,3,3,شكوي,بطء فى  تجهيز الاوردر  حوالى  ساعة  انتظار  لحين  اخذ الاوردر بسبب  قلة  العمالة  فى القسم
1603,مارس,45001,45000,517365.0,3,5,5,5,3,شكوي,فيليه  بلطى  طعمه  سئ وتم  استرجاعه  امس
1604,مارس,45001,45000,517527.0,5,5,5,3,3,شكوي,معاملة  مسؤول القسم سيئة  جدايتحدث  بصوت عالى مع  العملاء  يطلب  اخذ ارقام  رغم  وجود  2  عميل  امامه  وتم  طلب    تنظيف نصف  كيلو  جمبرى  ابلغها  نصف  ساعة  بطريقة  رد  سيئة   ومستوى  خدمة  العاملين  بالقسم  مقارنة  باسماك اسكار وسعودى  ا/هويدا    على  01221055540 بون177/9/250/150323
1605,مارس,45001,45000,520970.0,5,5,5,5,5,شكر, الخدمة  ممتازة
1606,مارس,45001,45000,521058.0,5,5,5,5,5,شكر, الخدمة  ممتازة
1607,مارس,45001,45000,522014.0,5,5,5,5,5,شكر, الخدمة  ممتازة
1608,مارس,45001,45000,523223.0,3,5,5,5,5,شكوي,  عدم مصداقية  مسؤول القسم  طلب العميل  نوع  سمك  ليس  به شوك  ابلغه  مسؤول  السمك  بسمك الشعور وانه  يحتوى  على  السلسلة  فقط  وجد  العميل ان  نوع السمك  به  شوك  كثير بون 158/15/250/150323  جومانة  صالح 01206392441
1609,مارس,45001,45000,525376.0,5,5,5,3,3,شكوي,  عدم  مصداقية  مسؤول  القسم  فى  سعر  سم  اللوت  الجزل  والسمكة  الكاملة  مع  العميل  تم  سؤواله  عن  سمك  اللوت  المعروض  ابلغه  110ج   طلب العميل  سمكة  كاملة  احتسبت  145ج  للكيلو  ولم  يتم  اعطاء  الراس   للعميل    واحتسبت    دون  اعطاء  باقى  السمكة5.570 جرام ا/  اشرف  سعيد 012222430122 بون114/15/250/15323
1610,مارس,45001,45000,529852.0,5,5,5,5,5,شكر, الخدمة  ممتازة
1611,مارس,45001,45000,603994.0,5,5,5,5,5,شكر, الخدمة  ممتازة
1612,مارس,45001,45000,606359.0,5,5,5,5,5,شكر, الخدمة  ممتازة
1613,مارس,45001,45000,610677.0,5,5,5,5,5,شكر, الخدمة  ممتازة    العميل لم يقم بالتسوية  بعد
1614,مارس,45001,45000,611139.0,5,5,5,5,5,شكر, الخدمة  ممتازة
1615,مارس,45001,45000,612261.0,5,5,5,5,5,شكر, الخدمة  ممتازة
1616,مارس,45001,45000,613080.0,5,5,5,5,5,شكر, الخدمة  ممتازة
1617,مارس,45001,45000,616815.0,5,5,5,5,5,شكر, الخدمة  ممتازة
1618,مارس,45001,45000,617100.0,5,5,5,5,5,شكر, الخدمة  ممتازة    العميل لم يقم بالتسوية  بعد
1619,مارس,45001,45000,618044.0,5,5,5,5,5,شكر, الخدمة  ممتازة
1620,مارس,45001,45000,618225.0,5,5,5,5,5,شكر, الخدمة  ممتازة    العميل لم يقم بالتسوية  بعد
1621,مارس,45001,45000,618823.0,5,5,5,5,5,شكر, الخدمة  ممتازة    العميل لم يقم بالتسوية  بعد
1622,مارس,45001,45000,623498.0,5,5,5,5,5,شكر, الخدمة  ممتازة
1623,مارس,45001,45000,623916.0,5,5,5,5,5,شكر, الخدمة  ممتازة
1624,مارس,45001,45000,626018.0,5,5,5,5,5,شكر, الخدمة  ممتازة
1625,مارس,45001,45000,837622.0,5,5,5,5,5,شكر, الخدمة  ممتازة
1626,مارس,45001,45000,838149.0,5,5,5,5,5,شكر, الخدمة  ممتازة
1627,مارس,45003,45002,508255.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1628,مارس,45003,45002,509220.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1629,مارس,45003,45002,509527.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1630,مارس,45003,45002,510316.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1631,مارس,45003,45002,511765.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1632,مارس,45003,45002,512429.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1633,مارس,45003,45002,513453.0,5,5,5,4,4,شكوي,قلة  العمالة  بالقسم  وجود  عامل واحد  على  كوانتر البيع  مما  ياخر  سرعة البيع للعملاء
1634,مارس,45003,45002,513721.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1635,مارس,45003,45002,513984.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1636,مارس,45003,45002,514108.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1637,مارس,45003,45002,514973.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1638,مارس,45003,45002,515423.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1639,مارس,45003,45002,515610.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1640,مارس,45003,45002,516091.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1641,مارس,45003,45002,516895.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1642,مارس,45003,45002,517621.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1643,مارس,45003,45002,518216.0,5,5,5,5,5,شكر,  الخدمة  ممتازة  العميل لم  يقم  بالتسوية  بعد
1644,مارس,45003,45002,518279.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1645,مارس,45003,45002,520752.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1646,مارس,45003,45002,520803.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1647,مارس,45003,45002,520962.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1648,مارس,45003,45002,521511.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1649,مارس,45003,45002,524416.0,5,5,5,5,5,شكر,  الخدمة  ممتازة رسالة  شكر  لقسم  الاسماك
1650,مارس,45003,45002,601956.0,5,5,5,5,5,شكر,  الخدمة  ممتازة  العميل لم  يقم  بالتسوية  بعد
1651,مارس,45003,45002,602004.0,5,5,5,5,5,شكر,  الخدمة  ممتازة  العميل لم  يقم  بالتسوية  بعد
1652,مارس,45003,45002,608494.0,3,3,5,3,3,شكوي,  سمك البورى  شوى  ردة  تتبيلة  السمك الثوم  زيادة  بها 
1653,مارس,45003,45002,609933.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1654,مارس,45003,45002,610516.0,3,5,5,5,3,شكوي,  ارتفاع سعر  الجمبرى  رغم  صغر  حجمه 300ج   وعدم  توافر الكابوريا والسبيط الساعة  11:00ص
1655,مارس,45003,45002,611400.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1656,مارس,45003,45002,611879.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1657,مارس,45003,45002,612394.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1658,مارس,45003,45002,613036.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1659,مارس,45003,45002,613313.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1660,مارس,45003,45002,613550.0,1,1,1,1,1,شكوي,سمك  البطاطا  وسمك المرجان   رائحة  زفارة  بهم  لعدم  غسلهم  قبل  التسوية  او  انهم  غير  فريش  وليست  الشكوى  الاوردر  من  القسم  من  رائحة الزفارة  فى  السمك
1661,مارس,45003,45002,619726.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1662,مارس,45003,45002,620784.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1663,مارس,45003,45002,620800.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1664,مارس,45003,45002,624777.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1665,مارس,45003,45002,625353.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1666,مارس,45003,45002,626946.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1667,مارس,45003,45002,627866.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
1668,مارس,45004,45003,263325.0,5,5,5,5,3,شكوي,ارتفاع سعر تسوية الشوى 
1669,مارس,45004,45003,511052.0,5,5,5,5,5,شكر,خدمة ممتازة جدا
1670,مارس,45004,45003,511228.0,5,5,5,5,5,شكر,خدمة ممتازة جدا
1671,مارس,45004,45003,512745.0,5,5,5,5,5,شكر,خدمة ممتازة جدا
1672,مارس,45004,45003,512753.0,5,5,5,5,5,شكر,خدمة ممتازة جدا
1673,مارس,45004,45003,513045.0,5,5,5,5,5,شكر,خدمة ممتازة جدا
1674,مارس,45004,45003,514077.0,5,5,5,5,5,شكر,خدمة ممتازة جدا
